N°,Fecha,%Caliza,%Yeso,M325,Blaine,SO3,SiO2,Al2O3,Fe2O3,MgO,CaO,K2O,Na2O,CO2,LOI,Alita ,Arcanite,Aphthitalite,Belita,Calcite,Cal libre,C3S M1,C3S M3,C3A Cubic,C3A Ortho,C3A total,Ferrita ,Gypsum,Hemidrato,Periclasa,Quartz,Thaumasite,Fluidez,Fraguado_Fin,Fraguado_In,1d,M100,M200,Humedad,RI
1,1/1/2010 0:00,2,4.35,5.29,3200,2.79,19.63,6.12,2.7,2.98,62.59,0.82,0.32,0.84,1.61,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,96,290,135,155,0.11,0.81,0.16,0.73
2,1/2/2010 0:00,1.73,4.77,5.11,3210,2.74,19.71,6.21,2.72,2.97,62.53,0.82,0.3,0.89,1.62,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,101,290,137,153,0.12,0.43,0.16,0.65
3,1/3/2010 0:00,2,4.85,6.04,3230,3.01,19.46,6.18,2.75,2.98,62.44,0.82,0.26,0.89,1.14,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,87,276,133,144,0.09,0.49,0.2,0.7
4,1/4/2010 0:00,1.38,4.5,6.38,3360,2.82,19.78,6.15,2.73,2.99,63.09,0.82,0.23,0.84,1.52,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,111,343,170,144,0.11,0.42,0.15,0.58
5,1/5/2010 0:00,1.29,4.14,7.76,3300,2.88,19.75,6.16,2.72,2.97,62.69,0.84,0.25,0.83,1.42,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,107,322,158,147,0.11,0.42,0.15,0.65
6,1/6/2010 0:00,1.89,4.11,6.96,3320,2.74,19.84,6.17,2.71,2.96,62.87,0.84,0.25,0.83,1.36,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,110,277,148,165,0.04,0.21,0.16,0.67
7,1/7/2010 0:00,1.51,4.15,5.41,3310,2.71,19.58,6.12,2.74,2.95,62.84,0.83,0.27,0.85,1.4,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,109,278,141,151,0.08,0.23,0.15,0.68
8,1/8/2010 0:00,1.3,4.17,6.03,3300,2.85,19.49,6.21,2.84,3.01,62.14,0.82,0.39,0.55,1.53,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,102,279,135,145,0.16,0.92,0.13,0.62
9,1/9/2010 0:00,1.23,4.21,5.68,3210,2.78,19.79,6.2,2.8,3,62.94,0.82,0.39,0.85,1.52,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,92,280,127,144,0.21,0.58,0.16,0.7
10,1/10/2010 0:00,1.61,4.09,5.98,3260,2.79,19.66,6.12,2.87,2.97,62.72,0.81,0.41,0.85,1.48,60.43,0.36,1.08,8.77,2.69,0.54,19.49,40.13,7.62,0.75,12.61,8.84,3.53,1.43,2.03,0.17,0.65,101,284,136,141,0.13,0.49,0.18,0.62
