Fecha,%Cal,%Yes,M325,Blaine,SO3,SiO2,Al2O3,Fe2O3,MgO,CaO,K2O,Na2O,CO2,LOI,Alita,Arcanite,Aphthitalite,Belita,Calcite,Cal libre,C3S_M1,C3S_M3,C3A_Cubic,C3A_Ortho,C3A_total,Ferrita,Gypsum,Hemidrato,Periclasa,Quartz,Thaumasite,Fluid,FV_Fin,FV_In,1d,3d,7d,28d,M100,M200,Humedad_Residual,Insoluble
2023-1-1 12:00 AM,4.1,4.8,2.79,3190,2.82,19.3,5.53,3.66,2.68,61.96,0.73,0.28,1.56,2.27,59,1.6,1.5,10.2,2.7,0.19,23.2,35.8,5.4,0.3,5.7,11.5,2.4,1.9,1.3,0.1,0.1,113,264,144,155,280,349,440,0.09,0.44,0.64,0.85
2023-1-2 12:00 AM,4.1,4.77,3.24,3190,2.77,19.2,5.59,3.54,2.73,62.14,0.75,0.29,1.46,2.9,60.4,1.6,1.3,9.5,2.3,0.24,20,40.3,5.9,0.4,6.3,10.7,2.9,1.2,1.5,0.2,0.2,114,260,141,153,286,360,439,0.37,1.18,0.69,1.14
2023-1-3 12:00 AM,4.1,4.79,3.32,3180,2.93,19.2,5.67,3.47,2.64,62.52,0.75,0.3,1.45,2.3,60.6,1.4,1.4,8.1,2.4,0.19,21,39.6,6.5,0.6,7.1,10.7,2.6,1.7,1.4,0.2,0,114,256,142,153,300,359,449,0.62,1.35,0.66,1.01
2023-1-4 12:00 AM,4.1,4.68,3.25,3170,2.78,19.69,5.84,3.37,2.63,61.49,0.76,0.32,1.47,2.43,59.5,1.5,1.4,8,3,0.33,19.1,40.4,6.7,0.7,7.4,10.1,2.5,1.7,1.3,0.3,0.8,109,254,138,153,287,357,452,0.6,1.14,0.64,1.24
2023-1-5 12:00 AM,4.1,4.69,3.28,3140,2.83,19.13,5.69,3.4,2.62,62.53,0.76,0.3,1.56,2.42,60.6,1.5,1.3,8.1,2.4,0.45,20.5,40.1,7,0.5,7.5,10.1,2.6,1.7,1.4,0.3,0.1,111,249,136,150,281,356,437,0.58,1.31,0.75,1.07
2023-1-6 12:00 AM,4.1,4.71,3.54,3140,2.75,19.24,5.7,3.5,2.71,62.57,0.74,0.3,1.5,2.31,61.2,1.5,1.3,7,2.6,0.39,20.8,40.4,6.4,0.7,7.1,10.7,2.4,1.8,1.5,0.2,0.1,111,242,141,159,299,379,463,0.58,1.32,0.64,1.03
2023-1-7 12:00 AM,4.1,4.63,3.42,3130,2.86,18.91,5.69,3.43,2.73,62.09,0.8,0.3,1.48,2.36,60.6,1.9,1.4,7.8,2.4,0.34,20.5,40,7.3,0.5,7.8,9.9,2.2,1.9,1.6,0.4,0.2,111,251,137,161,299,367,451,0.56,1.39,0.63,1.16
2023-1-8 12:00 AM,4.1,4.63,4.39,3150,2.81,18.94,5.72,3.45,2.71,62.43,0.79,0.3,1.48,2.22,60.8,1.7,1.4,8,2.3,0.57,21.1,39.7,7.2,0.7,7.8,9.7,1.8,2.2,1.7,0.4,0.1,112,244,133,156,291,354,444,0.12,0.65,0.52,1.18
2023-1-9 12:00 AM,4.1,4.89,2.93,3190,2.7,18.97,5.69,3.42,2.73,62.51,0.77,0.29,1.53,2.34,59.9,1.6,1.3,8.3,2.9,0.61,20.8,39.1,7.2,0.8,7.9,9.8,2.6,1.7,1.5,0.2,0.1,112,244,130,152,289,357,443,0.34,0.52,0.63,1.08
2023-1-10 12:00 AM,4.1,4.74,3.4,3120,2.86,18.83,5.58,3.61,2.68,62.49,0.77,0.29,1.54,2.4,61.7,1.7,1.4,7.1,2.8,0.6,21.5,40.2,6.2,0.4,6.6,10.7,2.4,1.7,1.4,0.2,0.1,114,244,136,157,293,379,432,0.54,0.12,0.7,1
2023-1-11 12:00 AM,4.1,4.59,3.3,3150,2.89,18.94,5.48,3.93,2.65,62.47,0.75,0.3,1.53,2.35,61.5,1.7,1.4,7.4,2.7,0.31,22.4,39.1,4.8,0,4.9,12.5,2.3,1.6,1.4,0.3,0.2,116,243,130,152,281,344,438,0.15,0.57,0.6,1.16
2023-1-12 12:00 AM,4.1,4.48,3.46,3150,2.87,18.93,5.59,3.71,2.71,61.97,0.77,0.31,1.57,2.27,61.3,1.6,1.5,8,2.4,0.29,21.6,39.7,5.8,0.1,5.9,11.8,2.2,1.7,1.6,0.3,0,116,245,140,153,285,377,431,0.1,0.58,0.6,1.14
2023-1-13 12:00 AM,4.1,4.46,3.98,3140,2.8,18.86,5.71,3.39,2.83,62.13,0.8,0.31,1.48,2.29,59,1.4,1.4,9.9,2.1,0.41,21.8,37.2,7.6,0.3,7.9,9,1.8,2.1,1.7,0.2,0.9,117,254,124,168,310,384,456,0.1,0.57,0.58,1.1
