N°,Fecha,%Caliza,%Yeso,M325,Blaine,SO3,SiO2,Al2O3,Fe2O3,MgO,CaO,K2O,Na2O,CO2,LOI,Alita ,Arcanite,Aphthitalite,Belita,Calcite,Cal libre,C3S M1,C3S M3,C3A Cubic,C3A Ortho,C3A total,Ferrita ,Gypsum,Hemidrato,Periclasa,Quartz,Thaumasite,Fluidez,Fraguado_Fin,Fraguado_In,1d,M100,M200,Humedad,RI
1,2013-7-14 12:00 AM,18,4.6,8.14,3500,3.08,18.79,6.21,2.85,3.14,57.6,0.919,-0.09,4.72,5.92,52,0,1,6.4,15.1,0.33,,,7.5,0.6,,6,6.2,0,2.2,1.9,,108,290,117,92,0.08,1.72,0.9,3.81
2,2013-7-25 12:00 AM,18,4.8,6.54,3580,2.94,18.83,6.1,2.89,2.97,58.28,0.915,0.84,4.75,5.91,52,0,1.5,6,14,0.58,,,8.8,0.2,,5.8,6.3,0,1.9,1.6,,113,296,116,132,0.06,1.04,0.81,3.98
3,2013-8-11 12:00 AM,18,5.19,7.79,3500,2.96,19.02,6.13,2.9,3.04,58.79,0.781,0.27,4.77,6.01,50.7,0,1.2,8.1,13.8,0.64,,,8.7,0.6,,5.7,5.5,0.7,2.1,1.4,,113,296,115,133,0.2,0.93,0.4,3.8
4,2013-8-19 12:00 AM,18,5.4,9.29,3470,2.99,19,6.12,2.91,3.01,58.58,0.8,0.28,4.13,5.5,51.7,0,0.7,7.7,13.4,0.17,,,9.1,0.2,,4.9,2.9,1.7,2.3,1.5,,106,284,110,139,0.06,1.06,0.13,4.21
5,2013-8-31 12:00 AM,18,5.4,6.98,3530,3.37,19.33,6.12,2.87,3.03,57.58,0.854,0.27,4.78,6.04,49.5,0,0.9,9.1,14.4,0.49,,,7.8,0.2,,5.9,6.7,0,2.2,1.9,,113,287,111,130,0.17,1.21,0.3,4.16
6,2013-9-19 12:00 AM,18,5.2,6.83,3860,3.32,18.53,6.07,2.68,2.95,58.78,0.954,0.18,,6.4,,,,,,,,,,,,,,,,,,113,283,111,123,0.08,1.07,0.15,4.23
7,2013-10-1 12:00 AM,18,5.2,8.42,3600,2.77,18.63,6.08,2.75,2.95,58.88,0.935,0.21,4.78,6.56,,,,,,,,,,,,,,,,,,110,298,120,131,0.05,1.22,0.13,4.02
8,2013-10-7 12:00 AM,18,5.1,7.97,3450,2.94,18.63,6.12,2.8,3.03,58.58,0.989,0.31,4.89,6.36,46.7,0,1,10.3,15.3,0.51,,,8.4,0.8,,5.6,6.3,0,2.2,1.8,,112,297,121,129,0.12,1.22,0.18,3.97
9,2013-10-13 12:00 AM,18,5.48,6.95,3380,3.03,18.03,6.1,2.8,2.99,58.81,0.971,0.43,4.91,6.37,49.9,0,0.8,7.5,15.1,0.63,,,9.4,0.1,,5.7,6.7,0,2,1.3,,114,298,121,147,0.24,1.17,0.2,3.97
10,2013-10-14 12:00 AM,18,5.38,7.46,3520,3.11,18.33,6.11,2.84,2.96,58.08,0.912,0.3,4.85,6.44,49.15,0,0.83,8.37,,0.58,,,8.77,0.7,,5.38,,,2.07,1.5,,105,301,130,136,0.1,1.24,0.18,4.25
11,2013-10-22 12:00 AM,18,4.8,6.98,3700,3.08,18.39,6.07,2.68,2.97,59.18,0.869,0.21,4.84,6.81,59.9,0,1.1,8.9,3.1,0.83,,,11.7,0.6,,5.7,4.3,0.8,2.2,0.1,,112,279,113,138,0.04,1.07,0.19,4.56
12,2013-10-27 12:00 AM,18,4.8,9.1,3500,3.27,18.43,6.06,2.74,2.96,58.88,0.906,0.26,5.02,6.55,54.7,0.9,0.4,5.8,15.1,0.31,,,8.3,1.3,,5.2,2.3,0,2.6,2.1,,109,286,128,140,0.06,1.26,0.2,4.2
13,2013-11-2 12:00 AM,18,4.86,6.26,3800,3.04,18.03,6.07,2.77,2.99,59.48,0.885,0.53,4.82,6.85,48.5,0.2,0.9,7.6,15.3,0.45,,,8.5,0.8,,5.4,6.3,0,2.1,1.8,,107,290,112,142,0.03,0.81,0.16,3.69
14,2013-11-3 12:00 AM,18,4.6,6.95,3800,2.91,18.13,6.08,2.75,3,59.48,0.878,0.46,4.82,6.96,48.5,0.1,0.9,8.7,15,0.5,,,8.5,1,,5.8,5.7,0.3,2.1,1.7,,105,291,112,131,0.34,1.94,0.17,4.17
15,2013-11-25 12:00 AM,18,5,6.73,3470,3.16,18.03,6.05,2.65,2.99,59.88,0.909,0.57,5.22,6.84,50.6,0,0.8,7.7,14.1,0.52,,,9.5,0.9,,5.4,5,0.3,2.3,1.4,,113,292,121,152,0.09,0.94,0.19,3.4
16,2013-12-1 12:00 AM,18,4.98,4.74,3750,3.14,17.93,6.03,2.6,2.99,60.08,0.878,0.54,5.17,6.95,48.7,0,1,8.1,16.2,0.45,,,7.6,1.4,,4.8,6.5,0.1,2.1,1.7,,115,290,101,160,0.08,1.05,0.14,2.86
17,2013-12-9 12:00 AM,18,4.83,9.05,3680,3.04,17.93,6.07,2.7,2.98,59.12,0.861,0.5,5.12,7,47.3,0,1.1,10.2,15.8,0.53,,,7.3,1.5,,5.5,6.5,0,2.1,1.6,,115,293,112,124,0.61,1.85,0.15,3.89
18,2013-12-28 12:00 AM,18,5.33,7.25,3800,2.9,18.21,6.06,2.76,3.01,59.49,0.805,0.81,5.46,6.85,50.2,0,1.1,7.4,14.6,0.64,,,8.2,1.3,,5.6,6,0.4,2.1,1.6,,106,297,114,145,0.12,1.3,0.28,3.76
19,2013-12-29 12:00 AM,18,5.5,8.81,3650,3.22,18.13,6.06,2.74,2.99,58.38,0.839,0.68,5.46,6.9,49.6,0,1.2,6.8,15.4,0.52,,,7.7,1.5,,5.4,7,0,2.1,1.8,,105,300,116,134,0.13,1.53,0.32,3.88
20,2014-1-17 12:00 AM,18,5.26,8.04,3780,3.04,18.33,6.11,2.78,2.99,58.58,0.885,0.81,5.59,6.75,48.8,0,1,7.8,16.3,0.65,,,8.4,1.3,,4.6,5.9,0.1,2,2.4,,109,299,110,125,0.25,1.16,0.18,4.11
21,2014-1-24 12:00 AM,18,5.7,9.17,3620,2.82,18.23,6.1,2.8,3.02,59.08,0.871,0.7,5.49,6.04,51.1,0.1,0.8,7.8,13,0.29,,,8.2,2,,6.4,4.6,0.6,2.2,1.6,,108,292,113,111,0.14,1.27,0.09,4.05
22,2014-1-26 12:00 AM,17.29,5.03,9.13,3520,3.06,17.83,6.09,2.76,3.01,59.18,0.863,0.57,5.49,6.07,49,0,0.8,6.2,15.7,0.31,,,8.7,1.9,,5.1,6.7,0.3,2.1,2,,112,293,123,118,0.24,1.23,0.1,3.97
23,2014-1-30 12:00 AM,18,4.84,6.4,3690,3.15,18.03,6.09,2.73,3,59.48,0.939,0.7,5.44,6.68,49.7,0,0.9,7.6,14.8,0.46,,,8.9,0.9,,5.2,6.3,0.1,2.2,1.6,,115,297,111,125,0.09,1.23,0.1,3.24
24,2014-2-1 12:00 AM,18,4.99,6.6,3560,3.14,17.93,6.1,2.75,3.02,59.78,0.887,0.62,5.44,6.8,50.5,0.2,0.7,7.7,13,0.58,,,10.2,1,,5.4,4.8,0.8,2.3,1.5,,106,297,114,128,0.79,1.53,0.14,3.29
25,2014-2-2 12:00 AM,,,7.75,3500,3.18,17.83,6.09,2.73,3.01,58.98,0.904,0.73,5.44,7.18,49.3,0,0.8,8.8,13.4,0.41,,,9.8,0.7,,5.6,4.8,0.4,2.3,1.8,,115,264,116,126,0.24,1.37,0.12,3.33
26,2014-2-3 12:00 AM,,,7.77,3600,3.12,18.03,6.1,2.76,3,58.98,0.883,0.84,5.15,6.75,47.6,0,1,8.8,15,0.55,,,8.6,0.9,,5.1,6.7,0,2.3,2,,110,302,124,123,0.14,1.38,0.2,3.47
